p0,stable_density_mean,stable_density_se,margin_of_error
0.05,0.4091955,0.0009609650973587481,0.00189498141253184
0.1143,0.40673299999999996,0.0009521314649948113,0.0018775618733822817
0.1786,0.4063875,0.0008831242898406389,0.0017414827227368473
0.2429,0.40619700000000003,0.0009632521625427147,0.0018994914056884881
0.3071,0.40686500000000003,0.0009216030249941631,0.0018173611163372785
0.3714,0.4087225,0.0008184847617863034,0.001614016382372908
0.4357,0.4063955,0.0009302391483460464,0.0018343911762979698
0.5,0.40769750000000005,0.0009236410464370434,0.0018213800060588872
0.5643,0.40762299999999996,0.0009491645916860536,0.0018717113281451184
0.6286,0.4086255,0.0009662326460961198,0.001905368789736653
0.6929,0.408021,0.0008477728996890831,0.0016717713175791733
0.7571,0.409169,0.0009308882638636039,0.0018356712038907913
0.8214,0.40709249999999997,0.00090486011509484,0.0017843448255915305
0.8857,0.406376,0.0008852255312664848,0.0017456262795175921
0.95,0.40688728323699425,0.0009330796249377836,0.001841761241989999
